tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
tt28522288,movie,The Heretics of London: The Smithfield Martyrs,The Heretics of London: The Smithfield Martyrs,0,2022,\N,80,Documentary,10.0,6
tt14297242,movie,The Humongous Fungus Among Us,The Humongous Fungus Among Us,0,2021,\N,59,Documentary,10.0,8
tt15063026,movie,The Outsiders,The Outsiders,0,2018,\N,60,Documentary,10.0,5
tt29033317,movie,The Tank Hunter,The Tank Hunter,0,2020,\N,\N,Documentary,10.0,132
tt13172076,movie,The True Story of Tamara de Lempicka & The Art of Survival,The True Story of Tamara de Lempicka & The Art of Survival,0,2024,\N,96,Documentary,10.0,12
tt18372080,movie,The World Cruzer,The World Cruzer,0,2022,\N,105,Documentary,10.0,6
tt8427556,movie,The last USSR blues,The last USSR blues,0,1992,\N,\N,Action,10.0,6
tt32550906,movie,Travel from Moscow to Plyos on the ship 'Knyazhna Viktoriya',Travel from Moscow to Plyos on the ship 'Knyazhna Viktoriya',0,2023,\N,67,Documentary,10.0,6
tt27543615,movie,The Hidden Treasure of the Church,Ukryty Skarb Kosciola,0,2023,\N,75,Documentary,10.0,7
tt12622578,movie,Urbex,Urbex,0,2024,\N,\N,"Drama,Thriller",10.0,5
tt31974639,movie,Vaklush,Vaklush,0,2023,\N,100,Documentary,10.0,7
tt26470758,movie,Vida de Atriz,Vida de Atriz,0,2023,\N,77,Drama,10.0,7
tt12825030,movie,10 Days in Watts,Watts Action,0,2023,\N,30,Documentary,10.0,7
tt31720333,movie,When Time Passes,When Time Passes,0,2024,\N,53,Documentary,10.0,6
tt12413918,movie,Zayed's Antarctic Lights,Zayed's Antarctic Lights,0,2018,\N,57,Documentary,10.0,11
tt23397732,movie,Zhuchok,Zhuchok,0,2015,\N,70,\N,10.0,7
